funding_time,entry_time,hold_time_min,entry_price,exit_price,actual_fr,actual_extreme,price_pnl_pct,fees_pct,slippage_pct,gross_pnl_pct,net_pnl_pct,correct_prediction
2025-03-09 08:00:00,2025-03-09 07:30:00,30.0,0.6024,0.6008,5e-05,0,0.2656042496680023,0.08,0.04,0.2656042496680023,0.14560424966800226,False
2025-03-09 16:00:00,2025-03-09 15:30:00,30.0,0.5771,0.5715,-9.199e-05,0,0.9703690868133666,0.08,0.04,0.9703690868133666,0.8503690868133666,False
2025-03-09 20:00:00,2025-03-09 19:35:00,25.0,0.5579,0.5567,-0.00036734,1,0.21509231044989766,0.08,0.04,0.21509231044989766,0.09509231044989766,True
2025-03-10 00:00:00,2025-03-09 23:30:00,30.0,0.5501,0.5508,-0.00051122,1,-0.12724959098344352,0.08,0.04,-0.12724959098344352,-0.24724959098344354,True
2025-03-10 04:00:00,2025-03-10 03:30:00,30.0,0.549,0.5539,-7.525e-05,0,-0.892531876138416,0.08,0.04,-0.892531876138416,-1.0125318761384159,False
2025-03-10 12:00:00,2025-03-10 11:30:00,30.0,0.565,0.5784,5e-05,0,-2.3716814159292174,0.08,0.04,-2.3716814159292174,-2.4916814159292175,False
2025-03-10 20:00:00,2025-03-10 19:40:00,20.0,0.5349,0.5391,-0.00042258,1,-0.7851934941110453,0.08,0.04,-0.7851934941110453,-0.9051934941110453,True
2025-03-11 00:00:00,2025-03-10 23:30:00,30.0,0.5342,0.5335,-0.00014995,0,0.1310370647697555,0.08,0.04,0.1310370647697555,0.011037064769755488,False
2025-03-11 04:00:00,2025-03-11 03:30:00,30.0,0.5264,0.5235,-0.00012871,0,0.5509118541033461,0.08,0.04,0.5509118541033461,0.4309118541033461,False
2025-03-11 08:00:00,2025-03-11 07:30:00,30.0,0.5319,0.533,-0.00075448,1,-0.20680579056213383,0.08,0.04,-0.20680579056213383,-0.3268057905621338,True
2025-03-11 12:00:00,2025-03-11 11:30:00,30.0,0.5389,0.5394,-0.00015052,0,-0.09278159213211076,0.08,0.04,-0.09278159213211076,-0.21278159213211076,False
2025-03-12 00:00:00,2025-03-11 23:30:00,30.0,0.5481,0.5498,-0.00041033,1,-0.31016237912788247,0.08,0.04,-0.31016237912788247,-0.43016237912788247,True
2025-03-12 08:00:00,2025-03-12 07:30:00,30.0,0.54,0.5446,5e-05,0,-0.8518518518518403,0.08,0.04,-0.8518518518518403,-0.9718518518518403,False
2025-03-15 04:00:00,2025-03-15 03:30:00,30.0,0.5614,0.5626,5e-05,0,-0.2137513359458459,0.08,0.04,-0.2137513359458459,-0.3337513359458459,False
2025-03-15 08:00:00,2025-03-15 07:30:00,30.0,0.5607,0.5635,5e-05,0,-0.4993757802746611,0.08,0.04,-0.4993757802746611,-0.6193757802746611,False
